Order,Latitude,Longitude,Date Created
280,37.2241632,-80.3844928,11/21/19 14:16
281,37.22416,-80.3844992,11/21/19 14:16
282,37.2241568,-80.384512,11/21/19 14:16
283,37.2241504,-80.3845184,11/21/19 14:16
284,37.2241504,-80.3845376,11/21/19 14:16
285,37.2241472,-80.3845504,11/21/19 14:16
286,37.224144,-80.3845696,11/21/19 14:16
287,37.2241408,-80.384576,11/21/19 14:16
288,37.2241376,-80.3845888,11/21/19 14:16
289,37.2241312,-80.384608,11/21/19 14:16
290,37.2241248,-80.3846144,11/21/19 14:16
291,37.2241248,-80.3846272,11/21/19 14:16
292,37.2241216,-80.3846464,11/21/19 14:16
293,37.2241184,-80.3846528,11/21/19 14:16
294,37.224112,-80.3846656,11/21/19 14:16
295,37.2241184,-80.384672,11/21/19 14:16
296,37.2241184,-80.3846848,11/21/19 14:16
297,37.2241184,-80.3846976,11/21/19 14:16
298,37.2241216,-80.384704,11/21/19 14:16
299,37.2241216,-80.384704,11/21/19 14:16
300,37.2241024,-80.3847104,11/21/19 14:16
301,37.2240992,-80.3847104,11/21/19 14:16
302,37.2240992,-80.384704,11/21/19 14:16
303,37.2240928,-80.3846976,11/21/19 14:16
304,37.2240928,-80.3846912,11/21/19 14:16
305,37.2240864,-80.3846912,11/21/19 14:16
306,37.2240832,-80.3846976,11/21/19 14:16
307,37.2240704,-80.3847104,11/21/19 14:16
308,37.224064,-80.3847296,11/21/19 14:16
309,37.2240576,-80.3847424,11/21/19 14:16
310,37.2240448,-80.3847488,11/21/19 14:16
311,37.2240384,-80.384768,11/21/19 14:16
312,37.2240288,-80.3847808,11/21/19 14:16
313,37.2240224,-80.3847936,11/21/19 14:16
314,37.2240128,-80.3848128,11/21/19 14:16
315,37.2240064,-80.3848256,11/21/19 14:16
316,37.224,-80.384832,11/21/19 14:17
317,37.2239968,-80.3848512,11/21/19 14:17
318,37.2239872,-80.384864,11/21/19 14:17
319,37.2239808,-80.3848832,11/21/19 14:17
320,37.2239712,-80.384896,11/21/19 14:17
321,37.2239648,-80.3849088,11/21/19 14:17
322,37.2239584,-80.384928,11/21/19 14:17
323,37.2239488,-80.3849408,11/21/19 14:17
324,37.2239456,-80.3849536,11/21/19 14:17
325,37.2239424,-80.3849728,11/21/19 14:17
326,37.2239328,-80.3849856,11/21/19 14:17
327,37.2239296,-80.3850112,11/21/19 14:17
328,37.2239264,-80.385024,11/21/19 14:17
329,37.2239232,-80.3850432,11/21/19 14:17
330,37.22392,-80.385056,11/21/19 14:17
331,37.2239136,-80.3850688,11/21/19 14:17
332,37.2239104,-80.385088,11/21/19 14:17
333,37.2239072,-80.3851008,11/21/19 14:17
334,37.223904,-80.3851136,11/21/19 14:17
335,37.2239008,-80.3851328,11/21/19 14:17
336,37.2239008,-80.3851456,11/21/19 14:17
337,37.2239008,-80.3851648,11/21/19 14:17
338,37.2238976,-80.385184,11/21/19 14:17
339,37.2238912,-80.3852032,11/21/19 14:17
340,37.223888,-80.3852224,11/21/19 14:17
341,37.2238912,-80.3852288,11/21/19 14:17
342,37.2238816,-80.3852416,11/21/19 14:17
343,37.223872,-80.3852544,11/21/19 14:17
344,37.2238656,-80.3852608,11/21/19 14:17
345,37.2238688,-80.3852736,11/21/19 14:17
346,37.2238656,-80.3852736,11/21/19 14:17
347,37.2238656,-80.3852864,11/21/19 14:17
348,37.2238688,-80.3852864,11/21/19 14:17
349,37.2238656,-80.3852928,11/21/19 14:17
350,37.2238624,-80.3853056,11/21/19 14:17
351,37.2238624,-80.385312,11/21/19 14:17
352,37.2238464,-80.3853312,11/21/19 14:17
353,37.2238496,-80.385344,11/21/19 14:17
354,37.2238496,-80.3853504,11/21/19 14:17
355,37.2238496,-80.385376,11/21/19 14:17
356,37.2238464,-80.385376,11/21/19 14:17
357,37.2238496,-80.3853824,11/21/19 14:17
358,37.2238624,-80.3853888,11/21/19 14:17
359,37.2238592,-80.3854016,11/21/19 14:17
360,37.2238688,-80.3854144,11/21/19 14:17
361,37.2238816,-80.3854272,11/21/19 14:17
362,37.2238976,-80.3854464,11/21/19 14:17
363,37.2239008,-80.3854464,11/21/19 14:17
364,37.223904,-80.3854464,11/21/19 14:17
365,37.2239104,-80.3854528,11/21/19 14:17
366,37.2239136,-80.3854592,11/21/19 14:17
367,37.2239136,-80.3854656,11/21/19 14:17
368,37.2238848,-80.3854848,11/21/19 14:17
369,37.2238816,-80.3854848,11/21/19 14:17
370,37.223872,-80.3854656,11/21/19 14:19
371,37.223872,-80.3854592,11/21/19 14:19
372,37.2238784,-80.3854528,11/21/19 14:19
373,37.2238816,-80.3854464,11/21/19 14:19
374,37.2238848,-80.38544,11/21/19 14:19
375,37.223888,-80.3854208,11/21/19 14:19
376,37.223888,-80.3854144,11/21/19 14:19
377,37.223888,-80.385408,11/21/19 14:19
378,37.223888,-80.3854016,11/21/19 14:19
379,37.223888,-80.3853824,11/21/19 14:19
380,37.2238976,-80.385376,11/21/19 14:19
381,37.2239008,-80.3853696,11/21/19 14:19
382,37.2239072,-80.3853504,11/21/19 14:19
383,37.22392,-80.3853504,11/21/19 14:19
384,37.2239232,-80.385344,11/21/19 14:19
385,37.2239296,-80.385344,11/21/19 14:19
386,37.2239296,-80.385344,11/21/19 14:19
387,37.2239328,-80.385344,11/21/19 14:19
388,37.2239328,-80.3853376,11/21/19 14:19
389,37.2239296,-80.3853312,11/21/19 14:19
390,37.2239296,-80.385312,11/21/19 14:19
391,37.2239264,-80.3853056,11/21/19 14:19
392,37.2239264,-80.3852928,11/21/19 14:19
393,37.2239072,-80.3852736,11/21/19 14:19
394,37.2239008,-80.3852608,11/21/19 14:19
395,37.2238976,-80.3852544,11/21/19 14:19
396,37.2239008,-80.3852544,11/21/19 14:19
397,37.2239008,-80.3852416,11/21/19 14:19
398,37.223904,-80.3852224,11/21/19 14:19
399,37.2239072,-80.3852096,11/21/19 14:19
400,37.2239072,-80.385184,11/21/19 14:19
401,37.223904,-80.3851712,11/21/19 14:19
402,37.2239072,-80.3851648,11/21/19 14:19
403,37.2239072,-80.385152,11/21/19 14:19
404,37.2239072,-80.3851392,11/21/19 14:19
405,37.2239072,-80.3851328,11/21/19 14:19
406,37.2239136,-80.3851264,11/21/19 14:19
407,37.2239136,-80.3851072,11/21/19 14:19
408,37.2239136,-80.3851008,11/21/19 14:19
409,37.2239232,-80.3851008,11/21/19 14:19
410,37.2239264,-80.3850944,11/21/19 14:19
411,37.2239296,-80.3850944,11/21/19 14:19
412,37.2239424,-80.385088,11/21/19 14:19
413,37.2239488,-80.3850688,11/21/19 14:19
414,37.223952,-80.3850624,11/21/19 14:19
415,37.2239648,-80.3850496,11/21/19 14:20
416,37.223968,-80.3850304,11/21/19 14:20
417,37.2239776,-80.3850176,11/21/19 14:20
418,37.223984,-80.3850048,11/21/19 14:20
419,37.2239904,-80.3849856,11/21/19 14:20
420,37.224,-80.3849728,11/21/19 14:20
421,37.2240064,-80.3849536,11/21/19 14:20
422,37.2240128,-80.3849408,11/21/19 14:20
423,37.2240224,-80.3849344,11/21/19 14:20
424,37.2240288,-80.3849152,11/21/19 14:20
425,37.224032,-80.3849024,11/21/19 14:20
426,37.2240384,-80.3848896,11/21/19 14:20
427,37.2240448,-80.3848704,11/21/19 14:20
428,37.2240512,-80.3848576,11/21/19 14:20
429,37.2240608,-80.3848448,11/21/19 14:20
430,37.2240608,-80.3848192,11/21/19 14:20
431,37.2240672,-80.3848064,11/21/19 14:20
432,37.2240768,-80.3847872,11/21/19 14:20
433,37.22408,-80.3847744,11/21/19 14:20
434,37.2240864,-80.3847552,11/21/19 14:20
435,37.2240928,-80.3847424,11/21/19 14:20
436,37.2240992,-80.3847296,11/21/19 14:20
437,37.2241024,-80.3847168,11/21/19 14:20
438,37.2241088,-80.384704,11/21/19 14:20
439,37.224112,-80.3846912,11/21/19 14:20
440,37.2241184,-80.384672,11/21/19 14:20
441,37.2241248,-80.3846592,11/21/19 14:20
442,37.224128,-80.3846464,11/21/19 14:20
443,37.2241376,-80.3846272,11/21/19 14:20
444,37.2241408,-80.384608,11/21/19 14:20
445,37.224144,-80.3845888,11/21/19 14:20
446,37.2241472,-80.384576,11/21/19 14:20
447,37.2241504,-80.3845568,11/21/19 14:20
448,37.2241568,-80.384544,11/21/19 14:20
449,37.2241568,-80.3845376,11/21/19 14:20
450,37.22416,-80.3845184,11/21/19 14:20
451,37.2241632,-80.3845056,11/21/19 14:20
452,37.2241664,-80.3844928,11/21/19 14:20
453,37.2241696,-80.3844736,11/21/19 14:20
454,37.2241792,-80.3844608,11/21/19 14:20
455,37.2241856,-80.384448,11/21/19 14:20
456,37.224192,-80.3844288,11/21/19 14:20
457,37.2242048,-80.384416,11/21/19 14:20
458,37.2242112,-80.3843968,11/21/19 14:20
459,37.224224,-80.384384,11/21/19 14:20
460,37.2242304,-80.3843712,11/21/19 14:20
461,37.22424,-80.384352,11/21/19 14:20
462,37.2242432,-80.3843392,11/21/19 14:20
463,37.2242496,-80.38432,11/21/19 14:20
464,37.224256,-80.3843072,11/21/19 14:20
465,37.2242592,-80.3843008,11/21/19 14:20
466,37.2242656,-80.3842752,11/21/19 14:20
467,37.2242688,-80.3842624,11/21/19 14:20
468,37.2242784,-80.3842496,11/21/19 14:20
469,37.2242848,-80.384224,11/21/19 14:20
470,37.224288,-80.3842112,11/21/19 14:20
471,37.2242976,-80.384192,11/21/19 14:20
472,37.224304,-80.3841792,11/21/19 14:20
473,37.2243072,-80.3841536,11/21/19 14:20
474,37.2243104,-80.3841408,11/21/19 14:20
475,37.2243168,-80.3841216,11/21/19 14:21
476,37.2243168,-80.3841088,11/21/19 14:21
477,37.2243168,-80.3840896,11/21/19 14:21
478,37.2243104,-80.3840704,11/21/19 14:21
479,37.2243072,-80.3840576,11/21/19 14:21
480,37.224304,-80.3840384,11/21/19 14:21
481,37.2243008,-80.3840256,11/21/19 14:21
482,37.2242912,-80.3840128,11/21/19 14:21
483,37.224288,-80.3839936,11/21/19 14:21
484,37.2242848,-80.3839744,11/21/19 14:21
485,37.2242784,-80.3839552,11/21/19 14:21
486,37.2242752,-80.3839424,11/21/19 14:21
487,37.2242688,-80.3839232,11/21/19 14:21
488,37.2242656,-80.3839104,11/21/19 14:21
489,37.2242624,-80.3838912,11/21/19 14:21
490,37.2242592,-80.383872,11/21/19 14:21
491,37.224256,-80.3838528,11/21/19 14:21
492,37.2242496,-80.3838336,11/21/19 14:21
493,37.2242464,-80.3838144,11/21/19 14:21
494,37.2242432,-80.3837952,11/21/19 14:21
495,37.2242432,-80.3837824,11/21/19 14:21
496,37.22424,-80.3837568,11/21/19 14:21
497,37.2242368,-80.383744,11/21/19 14:21
498,37.2242304,-80.3837312,11/21/19 14:21
499,37.2242304,-80.383712,11/21/19 14:21
500,37.224224,-80.3836992,11/21/19 14:21
501,37.2242176,-80.3836928,11/21/19 14:21
502,37.2242048,-80.38368,11/21/19 14:21
503,37.224192,-80.3836736,11/21/19 14:21
504,37.2241824,-80.3836736,11/21/19 14:21
505,37.2241696,-80.3836736,11/21/19 14:21
506,37.2241632,-80.3836736,11/21/19 14:21
507,37.2241664,-80.3836736,11/21/19 14:21
508,37.2241696,-80.3836736,11/21/19 14:21
509,37.2241792,-80.3836736,11/21/19 14:21
510,37.2241824,-80.3836736,11/21/19 14:21
511,37.2241888,-80.3836672,11/21/19 14:21
512,37.2241984,-80.3836672,11/21/19 14:21
513,37.2242016,-80.3836672,11/21/19 14:21
514,37.224208,-80.3836672,11/21/19 14:21
515,37.2242048,-80.3836672,11/21/19 14:21
516,37.2241984,-80.3836736,11/21/19 14:21
517,37.224192,-80.3836928,11/21/19 14:21
518,37.224192,-80.3837056,11/21/19 14:21
519,37.224192,-80.3837312,11/21/19 14:21
520,37.2241984,-80.3837504,11/21/19 14:21
521,37.2241984,-80.383776,11/21/19 14:21
522,37.2241984,-80.3837952,11/21/19 14:21
523,37.2241984,-80.3838208,11/21/19 14:21
524,37.2242016,-80.3838336,11/21/19 14:21
525,37.2242048,-80.3838592,11/21/19 14:21
526,37.224208,-80.3838784,11/21/19 14:21
527,37.2242112,-80.3838976,11/21/19 14:21
