Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance from Last,Bearing,Speed
149,33.8097408,-84.3747968,257.00,11/28/2012 09:55:09 AM,5.541,0.093,230.00,85.90
150,33.8102144,-84.3739264,258.00,11/28/2012 09:55:13 AM,5.638,0.096,240.00,85.60
151,33.8105568,-84.3729472,260.00,11/28/2012 09:55:17 AM,5.736,0.098,250.00,88.03
152,33.8108224,-84.3719040,260.00,11/28/2012 09:55:21 AM,5.836,0.101,252.00,89.23
153,33.8111040,-84.3708928,260.00,11/28/2012 09:55:25 AM,5.935,0.098,250.00,83.59
154,33.8113824,-84.3700736,260.00,11/28/2012 09:55:29 AM,6.017,0.082,247.00,66.79
155,33.8116736,-84.3693056,260.00,11/28/2012 09:55:33 AM,6.095,0.078,244.00,68.92
156,33.8119968,-84.3685504,260.00,11/28/2012 09:55:37 AM,6.173,0.078,241.00,73.19
157,33.8123552,-84.3677952,259.00,11/28/2012 09:55:41 AM,6.253,0.081,240.00,73.83
158,33.8127680,-84.3670208,259.00,11/28/2012 09:55:45 AM,6.338,0.084,236.00,77.24
159,33.8132288,-84.3662336,258.00,11/28/2012 09:55:49 AM,6.427,0.089,234.00,81.19
160,33.8137440,-84.3654720,258.00,11/28/2012 09:55:53 AM,6.518,0.09,231.00,82.62
161,33.8142848,-84.3647296,257.00,11/28/2012 09:55:57 AM,6.609,0.091,229.00,81.83
162,33.8148640,-84.3640384,256.00,11/28/2012 09:56:01 AM,6.700,0.091,224.00,79.86
163,33.8154656,-84.3633664,254.00,11/28/2012 09:56:05 AM,6.791,0.092,222.00,82.67
164,33.8161088,-84.3627136,251.00,11/28/2012 09:56:09 AM,6.884,0.094,220.00,85.56
165,33.8167872,-84.3620992,248.00,11/28/2012 09:56:13 AM,6.979,0.095,216.00,83.64
166,33.8175168,-84.3615360,247.00,11/28/2012 09:56:17 AM,7.075,0.097,211.00,85.55
167,33.8182496,-84.3610176,247.00,11/28/2012 09:56:21 AM,7.170,0.095,209.00,86.68
168,33.8189952,-84.3605120,250.00,11/28/2012 09:56:25 AM,7.265,0.094,209.00,84.53
169,33.8197024,-84.3600256,252.00,11/28/2012 09:56:29 AM,7.355,0.091,209.00,77.90
170,33.8203008,-84.3596096,254.00,11/28/2012 09:56:33 AM,7.432,0.077,211.00,65.81
171,33.8208608,-84.3591616,254.00,11/28/2012 09:56:37 AM,7.507,0.075,218.00,69.57
172,33.8214272,-84.3585728,253.00,11/28/2012 09:56:41 AM,7.590,0.084,223.00,77.46
173,33.8219648,-84.3578368,252.00,11/28/2012 09:56:45 AM,7.681,0.09,232.00,83.48
174,33.8224192,-84.3569536,253.00,11/28/2012 09:56:49 AM,7.777,0.097,243.00,88.72
175,33.8227840,-84.3560192,255.00,11/28/2012 09:56:53 AM,7.872,0.096,248.00,84.95
176,33.8230048,-84.3550592,260.00,11/28/2012 09:56:57 AM,7.964,0.092,257.00,83.07
177,33.8231872,-84.3540800,263.00,11/28/2012 09:57:01 AM,8.057,0.093,257.00,82.79
178,33.8233824,-84.3530624,262.00,11/28/2012 09:57:05 AM,8.153,0.097,257.00,89.58
179,33.8236416,-84.3520128,260.00,11/28/2012 09:57:09 AM,8.254,0.1,252.00,94.06
180,33.8239936,-84.3509376,258.00,11/28/2012 09:57:13 AM,8.361,0.106,247.00,97.23
181,33.8244224,-84.3498752,256.00,11/28/2012 09:57:17 AM,8.470,0.109,242.00,98.63
182,33.8249088,-84.3488512,254.00,11/28/2012 09:57:21 AM,8.579,0.109,239.00,96.81
183,33.8254080,-84.3478592,255.00,11/28/2012 09:57:25 AM,8.686,0.107,240.00,96.16
184,33.8258848,-84.3469056,259.00,11/28/2012 09:57:29 AM,8.789,0.104,239.00,91.85
185,33.8263680,-84.3460160,262.00,11/28/2012 09:57:33 AM,8.887,0.098,234.00,86.88
186,33.8269088,-84.3451840,264.00,11/28/2012 09:57:37 AM,8.985,0.098,230.00,88.34
187,33.8274944,-84.3444032,265.00,11/28/2012 09:57:41 AM,9.082,0.096,227.00,87.70
188,33.8280992,-84.3436480,264.00,11/28/2012 09:57:45 AM,9.178,0.096,227.00,87.70
189,33.8286720,-84.3428800,261.00,11/28/2012 09:57:49 AM,9.274,0.096,230.00,85.89
190,33.8291712,-84.3420032,258.00,11/28/2012 09:57:53 AM,9.372,0.098,238.00,90.03
191,33.8296128,-84.3410240,256.00,11/28/2012 09:57:57 AM,9.475,0.102,244.00,94.98
192,33.8300352,-84.3400256,257.00,11/28/2012 09:58:01 AM,9.578,0.103,243.00,90.60
193,33.8304256,-84.3390912,259.00,11/28/2012 09:58:05 AM,9.675,0.096,242.00,81.87
194,33.8307872,-84.3382336,262.00,11/28/2012 09:58:09 AM,9.764,0.089,243.00,78.80
195,33.8311488,-84.3374080,264.00,11/28/2012 09:58:13 AM,9.850,0.086,242.00,76.92
196,33.8315200,-84.3365696,264.00,11/28/2012 09:58:17 AM,9.937,0.088,242.00,81.87
197,33.8318976,-84.3356928,264.00,11/28/2012 09:58:21 AM,10.029,0.091,242.00,84.35
198,33.8322688,-84.3347840,263.00,11/28/2012 09:58:25 AM,10.122,0.094,240.00,85.59
199,33.8326752,-84.3338624,263.00,11/28/2012 09:58:29 AM,10.219,0.095,243.00,88.13
200,33.8330848,-84.3329344,263.00,11/28/2012 09:58:33 AM,10.316,0.097,241.00,84.96
201,33.8335008,-84.3320064,266.00,11/28/2012 09:58:37 AM,10.413,0.097,242.00,86.83
202,33.8338976,-84.3311104,268.00,11/28/2012 09:58:41 AM,10.507,0.094,242.00,81.87
203,33.8342784,-84.3302336,269.00,11/28/2012 09:58:45 AM,10.598,0.091,242.00,81.87
204,33.8346496,-84.3293760,269.00,11/28/2012 09:58:49 AM,10.687,0.09,242.00,79.39
205,33.8350208,-84.3285376,269.00,11/28/2012 09:58:53 AM,10.775,0.089,242.00,79.39
206,33.8354048,-84.3276992,269.00,11/28/2012 09:58:57 AM,10.863,0.089,240.00,78.78
207,33.8358080,-84.3268736,268.00,11/28/2012 09:59:01 AM,10.952,0.089,239.00,79.43
208,33.8362400,-84.3260352,267.00,11/28/2012 09:59:05 AM,11.043,0.091,238.00,82.58
209,33.8366752,-84.3252032,268.00,11/28/2012 09:59:09 AM,11.134,0.09,237.00,81.48
210,33.8370880,-84.3243968,270.00,11/28/2012 09:59:13 AM,11.221,0.087,239.00,79.43
211,33.8375008,-84.3236032,271.00,11/28/2012 09:59:17 AM,11.307,0.088,238.00,77.61
212,33.8379104,-84.3228096,274.00,11/28/2012 09:59:21 AM,11.394,0.087,238.00,77.61
213,33.8383168,-84.3220224,275.00,11/28/2012 09:59:25 AM,11.479,0.087,238.00,77.61
214,33.8387200,-84.3212224,276.00,11/28/2012 09:59:29 AM,11.566,0.086,239.00,76.94
215,33.8390848,-84.3203968,276.00,11/28/2012 09:59:33 AM,11.652,0.087,244.00,78.22
216,33.8393824,-84.3195392,276.00,11/28/2012 09:59:37 AM,11.738,0.086,249.00,79.58
217,33.8396192,-84.3186432,277.00,11/28/2012 09:59:41 AM,11.825,0.086,253.00,79.95
218,33.8397600,-84.3177024,278.00,11/28/2012 09:59:45 AM,11.913,0.087,262.00,77.24
219,33.8398176,-84.3168128,278.00,11/28/2012 09:59:49 AM,11.995,0.083,266.00,70.36
220,33.8398560,-84.3160448,278.00,11/28/2012 09:59:53 AM,12.066,0.07,264.00,62.00
221,33.8398880,-84.3153984,276.00,11/28/2012 09:59:57 AM,12.126,0.06,267.00,51.10
222,33.8398976,-84.3148864,274.00,11/28/2012 10:00:01 AM,12.173,0.046,270.00,40.40
223,33.8399072,-84.3144768,271.00,11/28/2012 10:00:05 AM,12.211,0.037,268.00,36.17
224,33.8399136,-84.3140096,269.00,11/28/2012 10:00:09 AM,12.254,0.044,270.00,40.40
225,33.8399136,-84.3135296,267.00,11/28/2012 10:00:13 AM,12.299,0.044,266.00,38.36
226,33.8399392,-84.3131392,265.00,11/28/2012 10:00:17 AM,12.335,0.036,260.00,28.11
227,33.8400448,-84.3128896,265.00,11/28/2012 10:00:21 AM,12.361,0.027,228.00,17.19
228,33.8401760,-84.3128640,264.00,11/28/2012 10:00:25 AM,12.376,0.015,180.00,10.24
229,33.8402912,-84.3129024,263.00,11/28/2012 10:00:29 AM,12.390,0.014,157.00,5.54
230,33.8402816,-84.3129280,260.00,11/28/2012 10:00:33 AM,12.394,0.005,0.00,3.84
231,33.8402432,-84.3128832,256.00,11/28/2012 10:00:37 AM,12.400,0.007,337.00,5.54
232,33.8402240,-84.3129216,249.00,11/28/2012 10:00:41 AM,12.405,0.004,59.00,4.96
233,33.8402048,-84.3129728,241.00,11/28/2012 10:00:45 AM,12.410,0.005,40.00,3.33
234,33.8401920,-84.3130176,233.00,11/28/2012 10:00:49 AM,12.415,0.004,73.00,4.44
235,33.8401440,-84.3130624,222.00,11/28/2012 10:00:57 AM,12.424,0.008,42.00,3.80
236,33.8400800,-84.3131392,211.00,11/28/2012 10:01:11 AM,12.434,0.011,59.00,4.96
237,33.8400576,-84.3132032,210.00,11/28/2012 10:01:15 AM,12.441,0.007,79.00,6.51
238,33.8400768,-84.3132928,209.00,11/28/2012 10:01:19 AM,12.450,0.009,116.00,11.80
239,33.8402624,-84.3134976,201.00,11/28/2012 10:01:23 AM,12.478,0.028,141.00,54.24
240,33.8407296,-84.3136320,215.00,11/28/2012 10:01:27 AM,12.534,0.057,180.00,60.16
241,33.8411648,-84.3136960,228.00,11/28/2012 10:01:31 AM,12.584,0.05,160.00,38.05
242,33.8414496,-84.3137536,239.00,11/28/2012 10:01:35 AM,12.616,0.031,168.00,30.13
243,33.8417472,-84.3138752,247.00,11/28/2012 10:01:39 AM,12.651,0.035,162.00,34.94
244,33.8421184,-84.3140416,253.00,11/28/2012 10:01:43 AM,12.695,0.044,162.00,41.68
245,33.8425472,-84.3142400,253.00,11/28/2012 10:01:47 AM,12.746,0.051,162.00,47.21
246,33.8430016,-84.3144512,254.00,11/28/2012 10:01:51 AM,12.800,0.054,159.00,46.73
247,33.8434464,-84.3146496,254.00,11/28/2012 10:01:55 AM,12.853,0.053,162.00,48.43
248,33.8438944,-84.3148096,256.00,11/28/2012 10:01:59 AM,12.905,0.053,172.00,46.52
249,33.8443552,-84.3149440,258.00,11/28/2012 10:02:03 AM,12.958,0.052,167.00,46.05
250,33.8448416,-84.3151040,263.00,11/28/2012 10:02:07 AM,13.014,0.056,165.00,50.29
251,33.8453728,-84.3152000,263.00,11/28/2012 10:02:11 AM,13.074,0.059,173.00,55.41
252,33.8459328,-84.3152640,265.00,11/28/2012 10:02:15 AM,13.136,0.063,174.00,56.68
253,33.8464896,-84.3153216,267.00,11/28/2012 10:02:19 AM,13.198,0.062,176.00,55.21
254,33.8470336,-84.3153600,269.00,11/28/2012 10:02:23 AM,13.259,0.061,178.00,55.09
255,33.8475520,-84.3154176,271.00,11/28/2012 10:02:27 AM,13.317,0.058,171.00,51.91
256,33.8480608,-84.3154432,273.00,11/28/2012 10:02:31 AM,13.373,0.058,177.00,48.69
257,33.8485824,-84.3154496,277.00,11/28/2012 10:02:35 AM,13.431,0.058,180.00,51.20
258,33.8491136,-84.3154432,280.00,11/28/2012 10:02:39 AM,13.490,0.06,182.00,53.81
259,33.8496704,-84.3154368,282.00,11/28/2012 10:02:43 AM,13.552,0.063,180.00,56.32
260,33.8502400,-84.3154048,284.00,11/28/2012 10:02:47 AM,13.616,0.064,186.00,60.50
261,33.8508096,-84.3152768,287.00,11/28/2012 10:02:51 AM,13.680,0.065,198.00,56.39
262,33.8513600,-84.3150080,289.00,11/28/2012 10:02:55 AM,13.746,0.066,203.00,60.99
263,33.8519616,-84.3147648,293.00,11/28/2012 10:02:59 AM,13.817,0.07,200.00,62.61
264,33.8525184,-84.3144896,298.00,11/28/2012 10:03:03 AM,13.884,0.068,206.00,57.21
265,33.8531008,-84.3142336,298.00,11/28/2012 10:03:07 AM,13.953,0.069,198.00,61.92
266,33.8536576,-84.3139584,300.00,11/28/2012 10:03:11 AM,14.020,0.067,204.00,58.63
267,33.8541440,-84.3136000,301.00,11/28/2012 10:03:15 AM,14.083,0.064,217.00,56.25
268,33.8545568,-84.3131328,301.00,11/28/2012 10:03:19 AM,14.146,0.063,225.00,54.22
269,33.8549600,-84.3127360,301.00,11/28/2012 10:03:23 AM,14.204,0.058,214.00,49.42
270,33.8553856,-84.3124928,298.00,11/28/2012 10:03:27 AM,14.257,0.053,198.00,47.21
271,33.8557920,-84.3123328,295.00,11/28/2012 10:03:31 AM,14.304,0.048,198.00,41.68
